,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
2328,2328,2874,15,"They also study how the individuals of a species interact with each other and how populations interact with the environment. If a group of similar organisms in the same area cannot reproduce with members of the other group, then they are members of two distinct species and form two populations. Ecologists look at many factors that help to describe a population.",a group of similar organisms in the same area cannot reproduce with members of the other group,then they are members of two distinct species and form two populations,"what causes two populations to form ?
","what happens if a group of similar organisms cannot reproduce with members of the other group ?
"
2329,2329,2875,15,"During sexual intercourse, sperm may be released into the vagina. If this occurs, the sperm will move through the vagina and into the uterus. During birth, a baby passes from the uterus to the vagina to leave the body.",this occurs,the sperm will move through the vagina and into the uterus,"when will the sperm move through the vagina and into the uterus ?
","what happens when sperm is released into the vagina during sexual intercourse ?
"
2330,2330,2876,15,"Then the egg passes through the fallopian tube to the uterus. If an egg is to be fertilized, this will occur in the fallopian tube. A fertilized egg then implants into the wall of the uterus, where it begins to develop.",an egg is to be fertilized,this will occur in the fallopian tube,"why will this occur in the fallopian tube ?
","what happens if an egg is to be fertilized ?
"
2331,2331,2877,15,"This cycle is controlled by a well-planned and very complex interplay of hormones. If an egg is not fertilized, the system must prepare itself again the next cycle. The female reproductive system also supports a baby as it develops before birth, and it facilitates the babys birth at the end of pregnancy.",an egg is not fertilized,the system must prepare itself again the next cycle,"what causes the female reproductive system to prepare itself for the next cycle ?
","what happens if an egg is not fertilized ?
"
2332,2332,2878,15,"Huntingtons disease is an example of an autosomal dominant disorder. This means that if the dominant allele is present, then the person will express the disease. A child only has to inherit one dominant allele to have the disease.",the dominant allele is present,then the person will express the disease,"when will a person express the disease ?
","what happens if the dominant allele is present ?
"
2333,2333,2879,15,"If one parent has Huntingtons disease, what is the chance of passing it on to the children? If you draw the Punnett square, you will find that there is a 50 percent chance of the disorder being passed on to the children. ",you draw the Punnett square,you will find that there is a 50 percent chance of the disorder being passed on to the children,"what will find that there is a 50 percent chance of the disease being passed on to the children ?
","what happens if you draw the punnett square ?
"
2334,2334,2880,15,"The dominant allele, R, encodes for non-red hair, while the recessive allele, r, encodes for red hair. If a populations gene pool contains 90% R and 10% r alleles, then the next generation would also have 90% R and 10% r alleles. However, this only works under a strict set of conditions.",a populations gene pool contains 90% R and 10% r alleles,then the next generation would also have 90% R and 10% r alleles,"what causes the next generation to have 90 % r and 10 % r alleles ?
","what happens if a populations gene pool contains 90 % r and 10 % r alleles ?
"
2335,2335,2881,15,"The Hardy-Weinberg model also serves a mathematical formula used to predict allele frequencies in a population at genetic equilibrium. If you know the allele frequencies of one generation, you can use this formula to predict the next generation. Again, this only works if all five conditions are being met in a population.",you know the allele frequencies of one generation,you can use this formula to predict the next generation,"why can the hardy - weinberg model predict the next generation ?
","what happens if you know the allele frequencies of one generation ?
"
2336,2336,2882,15,"Some studies have shown that people in urban areas suffer lower levels of lung function and more chronic bronchitis and emphysema. If you live in a city, you have seen smog. It is a low-hanging, fog-like cloud that seems to never leave the city (Figure 1.1).",you live in a city,you have seen smog,"why have you seen smog ?
","what happens if you live in a city ?
"
2337,2337,2883,15,"Eating even tiny amounts of the foods causes them to have serious symptoms, such as difficulty breathing. If they eat the foods by accident, they may need emergency medical treatment. Some of the foods that commonly cause allergies are shown here.",they eat the foods by accident,they may need emergency medical treatment,"what can cause them to need emergency medical treatment ?
","what happens if they eat the foods by accident ?
"
2338,2338,2884,15,"This command can cause several responses. If you are too hot, the skin makes sweat and blood vessels near the skin surface dilate. This response helps decrease body temperature.",you are too hot,the skin makes sweat and blood vessels near the skin surface dilate,"why does the skin make sweat and blood vessels near the skin surface dilate ?
","what happens when you are too hot ?
"
2339,2339,2885,15,"Feedback Regulation. If a raise in body temperature (stimulus) is detected (recep-tor), a signal will cause the brain to main-tain homeostasis (response). Once the body temperature returns to normal, neg-ative feedback will cause the response to end.",a raise in body temperature (stimulus) is detected (recep-tor),a signal will cause the brain to main-tain homeostasis (response),"what causes the brain to main - tain homeostasis ( response ) ?
","what happens when a raise in body temperature is detected ?
"
2340,2340,2886,15,"For example, your body closely regulates your fluid balance. You may have noticed that if you are slightly dehydrated, your urine is darker. Thats because the urine is more concentrated and less water is mixed in with it.",you are slightly dehydrated,your urine is darker,"why is your urine darker ?
","what happens if you are slightly dehydrated ?
"
2341,2341,2887,15,"Even a brief change in climate may be too stressful for an organism to survive. For example, if the seas increase in temperature, even briefly, it may be too warm for certain types of fish to reproduce. ",the seas increase in,"even briefly, it may be too warm for certain types of fish to reproduce","what may be too warm for certain types of fish to reproduce ?
","what happens if the seas increase in temperature ?
"
2342,2342,2888,15,"How quickly is the human population growing? If we look at worldwide human population growth from 10,000 BCE through today, our growth looks like exponential growth. It increased very slowly at first, but later grew faster and faster as the population increased in size (Figure 1.1).","we look at worldwide human population growth from 10,000 BCE through today",our growth looks like exponential growth,"why does our growth look like exponential growth ?
","what happens when we look at worldwide human population growth from 10 , 000 bce through today ?
"
2343,2343,2889,15," On the other hand, if you look at human population growth in specific countries, you may see a different pattern. On the level of a country, the history of human population growth can be divided into five stages, as described in Table 1.1.",you look at human population growth in specific countries,you may see a different pattern,"why may you see a different pattern ?
","what happens if you look at human population growth in specific countries ?
"
2344,2344,2891,15,"Unlike other naturalists before him, Darwin did not want to present any ideas unless he had strong evidence supporting them. Instead, once Darwin returned to England, he spent over twenty years examining specimens, talking with other scientists and collecting more information before he presented his theories. Some of Darwins ideas conflicted with widely held beliefs, including those from religious leaders.",Darwin returned to England,"he spent over twenty years examining specimens, talking with other scientists and collecting more information before he presented his theories","what caused darwin to spend over twenty years studying specimens ?
","what happened after darwin returned to england ?
"
2345,2345,2892,15,"For example, scientists are trying to discover ways to regrow damaged spinal cord neurons. If you suspect that someone has a back or neck injury: dont move the injured person as permanent paralysis and other serious complications may result, call 911 or your local emergency medical assistance number, keep the person very still, place heavy towels on both sides of the neck or hold the head and neck to prevent them from moving, until emergency care arrives, provide basic first aid, such as stopping any bleeding and making the person comfortable, without moving the head or neck. Former ""man of steel"" Superman star Christopher Reeve (September 25, 1952 October 10, 2004) was paralyzed from the neck down in a fall from a horse.",you suspect that someone has a back or neck injury: dont move,"call 911 or your local emergency medical assistance number, keep the person very still","what happens when a person is paralyzed ?
","what happens if you suspect someone has a back or neck injury ?
"
2346,2346,2893,15,"Injuries to the central nervous system may damage tissues of the brain or spinal cord. If an injury is mild, a person may have a full recovery. If an injury is severe, it may cause permanent disability or even death.",an injury is mild,a person may have a full recovery,"what can cause a person to have a full recovery ?
","what happens if an injury is mild ?
"
2347,2347,2894,15,"If an injury is mild, a person may have a full recovery. If an injury is severe, it may cause permanent disability or even death. Brain and spinal cord injuries most commonly occur because of car crashes or sports accidents.",an injury is severe,it may cause permanent disability or even death,"what can cause permanent disability or even death ?
","what happens if an injury is severe ?
"
2348,2348,2895,15,"You can catch the herpes simplex virus through kissing, sharing cosmetics, or sharing food with infected individuals. Once you catch herpes simplex virus, it cant be cured. Even after sores have healed, the virus remains in your body, and new cold sores can appear at any time.",you catch herpes simplex virus,it cant be cured,"why can ' t the virus be cured ?
","what happens to the herpes simplex virus once you catch it ?
"
2349,2349,2896,15,"One of the most important roles of ADH is to control the bodys ability to hold onto water. If a person does not drink enough water, ADH is released. It causes the blood to reabsorb water from the kidneys.",a person does not drink enough water,ADH is released,"what causes adh to be released ?
","what happens if a person doesn ' t drink enough water ?
"
2350,2350,2897,15," If there are 12 hamburgers at a lunch table and 24 people sit down at a lunch table, will everyone be able to eat? At first, maybe you will split hamburgers in half, but if more and more people keep coming to sit at the lunch table, you will not be able to feed everyone.",there are 12 hamburgers at a lunch table and 24 people sit down at a lunch table,will everyone be able to eat,"what would cause everyone to be able to eat ?
","what happens if there are 12 hamburgers and 24 people sit down at a lunch table ?
"
2351,2351,2898,15,"If there are 12 hamburgers at a lunch table and 24 people sit down at a lunch table, will everyone be able to eat? At first, maybe you will split hamburgers in half, but if more and more people keep coming to sit at the lunch table, you will not be able to feed everyone. This is what happens in nature.",more and more people keep coming to sit at the lunch table,you will not be able to feed everyone,"why will you not be able to feed everyone ?
","what happens if more and more people come to the lunch table ?
"
2352,2352,2899,15,"The egg is swept into the fallopian tube. If sperm is present, fertilization may occur. As sperm can only survive in the fallopian tube for up to a few days, fertilization can only occur within those few days post-ovulation.",sperm is present,fertilization may occur,"why may fertilization occur ?
","what happens if sperm is present ?
"
2353,2353,2900,15,"As sperm can only survive in the fallopian tube for up to a few days, fertilization can only occur within those few days post-ovulation. If the egg is fertilized, the egg makes its way through the fallopian tube into the uterus, where it imbeds into the thick lining. When this occurs, the monthly cycle stops.",the egg is fertilized,"the egg makes its way through the fallopian tube into the uterus, where it imbeds into the thick lining","what causes the monthly cycle to stop ?
","what happens when the egg is fertilized ?
"
2354,2354,2901,15,"The monthly cycle does not resume until the pregnancy is over. If a sperm does not enter an egg, the lining of the uterus breaks down. Blood and other tissues from the lining break off from the uterus.",a sperm does not enter an egg,the lining of the uterus breaks down,"what causes the lining of the uterus to break down ?
","what happens if a sperm does not enter an egg ?
"
2355,2355,2902,15,"These are exercises that cause your heart to beat faster and allow your muscles to use oxygen to contract. If you exercise aerobically, overtime, your muscles will not get easily tired, and you will use oxygen more efficiently. Aerobic exercise (Figure 1.2) also helps improve cardiac muscle.",you exercise aerobically,"overtime, your muscles will not get easily tired, and you","why will your muscles not get easily tired ?
","what happens if you exercise aerobically ?
"
2356,2356,2903,15,"Injuries can also be prevented by proper rest and recovery. If you do not get enough rest, your body will become injured and will not react well to exercise, or improve. You can also rest by doing a different activity.",you do not get enough rest,"your body will become injured and will not react well to exercise, or improve","why will your body become injured and not react well to exercise ?
","what happens if you don ' t get enough rest ?
"
2357,2357,2904,15,"You can also rest by doing a different activity. For example, if you run, you can rest your running muscles and joints by swimming. Warming up before the game helps the players avoid injuries.",you run,you can rest your running muscles and joints by swimming,"why can you rest your running muscles and joints by swimming ?
","what happens if you run ?
"
2358,2358,2905,15," If a single base is deleted (called a deletion, which is also a point mutation), there can be huge effects on the organism, because this may cause a frameshift mutation. Remember that the bases in the mRNA are read in groups of three by the tRNA.",a single base is deleted (called a deletion,"which is also a point mutation), there can be huge effects on the organism","what can cause huge effects on the organism ?
","what happens when a single base is deleted ?
"
2359,2359,2906,15,"Remember that the bases in the mRNA are read in groups of three by the tRNA. If the reading frame is off by even one base, the resulting sequence will consist of an entirely different set of codons. The reading of an mRNA is like reading three-letter words of a sentence.",the reading frame is off by even one base,the resulting sequence will consist of an entirely different set of codons,"why will the resulting sequence consist of an entirely different set of codons ?
","what happens if the reading frame is off by even one base ?
"
2360,2360,2907,15,"Small changes in the DNA sequence are usually point mutations, which is a change in a single nucleotide. Once DNA has a mutation, that mutation will be copied each time the DNA replicates. After cell division, each resulting cell will carry the mutation.",DNA has a mutation,that mutation will be copied each time the DNA replicates,"what causes a mutation to be copied each time the dna replicates ?
","what happens when dna has a mutation ?
"
2361,2361,2908,15,"For example, suppose a mutation in an animals DNA causes the loss of an enzyme that makes a dark pigment in the animals skin. If the population of animals has moved to a light colored environment, the animals with the mutant gene would have a lighter skin color and be better camouflaged. So in this case, the mutation is beneficial.",the population of animals has moved to a light colored environment,the animals with the mutant gene would have a lighter skin color and be better camouflaged,"why would the animals with the mutant gene have a lighter skin color ?
","what would happen if the population of animals moved to a light colored environment ?
"
2362,2362,2909,15,"A pain reliever like ibuprofen may also work. If the pain is severe, a doctor can prescribe stronger medicine to relieve the pain. The most common type of cancer in females is breast cancer.",the pain is severe,a doctor can prescribe stronger medicine to relieve the pain,"when can a doctor prescribe stronger medicine to relieve pain ?
","what happens if the pain is severe ?
"
2363,2363,2910,15,"It becomes more common as women get older. If breast cancer is found early, it usually can be cured with surgery. ",breast cancer is found early,it usually can be cured with surgery,"why can breast cancer usually be cured with surgery ?
","what happens if breast cancer is found early ?
"
2364,2364,2912,15,"Actually, almost all organisms obtain their energy from photosynthetic organisms. For example, if a bird eats a caterpillar, then the bird gets the energy that the caterpillar gets from the plants it eats. So the bird indirectly gets energy that began with the glucose formed through photosynthesis.",a bird eats a caterpillar,then the bird gets the energy that the caterpillar gets from the plants it eats,"what happens when a bird gets energy from plants it eats ?
","what happens if a bird eats a caterpillar ?
"
2365,2365,2913,15,"Height is a polygenic trait, controlled by at least three genes with six alleles. If you are dominant for all of the alleles for height, then you will be very tall. There is also a wide range of skin color across people.",you are dominant for all of the alleles for height,then you will be very tall,"why will you be very tall ?
","what happens if you are dominant for all of the alleles for height ?
"
2366,2366,2914,15,"You can predict the growth rate by using this simple equation: growth rate = birth rate death rate. If the birth rate is larger than the death rate, then the population grows. If the death rate is larger than the birth rate, what will happen to the population?",the birth rate is larger than the death rate,then the population grows,"what happens to the population if the death rate is larger than the birth rate ?
","what happens if the birth rate is larger than the death rate ?
"
2367,2367,2915,15,"The population size will decrease. If the birth and death rates are equal, then the population size will not change. Factors that affect population growth are: 1. 2.",the birth and death rates are equal,then the population size will not change,"what causes the population size to decrease ?
","what happens if the birth and death rates are equal ?
"
2368,2368,2916,15,"Eventually, the contractions squeeze the baby out of the uterus. Once the baby enters the vagina, the mother starts pushing. She soon pushes the baby through the vagina and out of her body.",the baby enters the vagina,the mother starts pushing,"when does the mother start pushing ?
","what happens once the baby enters the vagina ?
"
2369,2369,2917,15,"Cover your mouth and nose with a tissue when you sneeze or cough, Watching the news will allow you to make informed decisions. If an outbreak of bad beef due to a bacterial infection is in the news, dont buy beef for a while. If tomatoes are making people sick, dont eat tomatoes until the outbreak is over.",an outbreak of bad beef due to a bacterial infection is in the news,dont buy beef for a while,"why do you not buy beef for a while ?
","what happens if an outbreak of bad beef due to a bacterial infection is in the news ?
"
2370,2370,2918,15,"If an outbreak of bad beef due to a bacterial infection is in the news, dont buy beef for a while. If tomatoes are making people sick, dont eat tomatoes until the outbreak is over. If a place has an unhealthy water supply, boil the water or drink bottled water.",tomatoes are making people sick,dont eat tomatoes until the outbreak is over,"why do not eat tomatoes if there is an outbreak of bad beef ?
","what happens if tomatoes are making people sick ?
"
2371,2371,2919,15,"You can also influence companies. If you and your family only buy from companies and restaurants that support recycling or eco-friendly packaging, then other companies will also change to be more environmentally friendly. ",you and your family only buy from companies and restaurants that support recycling or eco-friendly packaging,then other companies will also change to be more environmentally friendly,"why will other companies change to be more environmentally friendly ?
","what happens if you only buy from companies and restaurants that support recycling or eco - friendly packaging ?
"
2372,2372,2920,15,"Of course, the only way to be fully protected against STIs is to refrain from sexual activity. If you are a boy, you should always wear a protective cup when you play contact sports. Contact sports include football, boxing, and hockey.",you are a boy,you should always wear a protective cup when you play contact sports,"why should you always wear a protective cup when you play contact sports ?
","what should you do if you are a boy ?
"
2373,2373,2921,15,"Breathing is mostly an involuntary action that is controlled by a part of your brain that also controls your heart beat. If you swim, do yoga, or sing, you know you can control your breathing, however. Taking air into the body through the nose and mouth is called inhalation.",you swim,"do yoga, or sing, you know you can control your breathing, however","what causes you to know you can control your breathing ?
","why do you know you can control breathing ?
"
2374,2374,2922,15,"The baby will have two X chromosomes, so it will be female. If the fathers sperm carries the Y chromosome, the child will be male. Notice that a mother can only pass on an X chromosome, so the sex of the baby is determined by the father.",the fathers sperm carries the Y chromosome,the child will be male,"what causes the child to be male ?
","what happens if the fathers sperm carries the y chromosome ?
"
2375,2375,2923,15,"(Table Myth If you are sexually active with just one person, you cant get STIs. If you dont have any symptoms, then you dont have an STI.",you are sexually active with just one person,you cant get STIs,"why can ' t you get stis ?
","what happens if you are sexually active with just one person ?
"
2376,2376,2924,15,"If you are sexually active with just one person, you cant get STIs. If you dont have any symptoms, then you dont have an STI. Getting STIs is no big deal, because STIs can be cured with medicine.",you dont have any symptoms,then you dont have an STI,"why cant you get stis if you are sexually active with just one person ?
","what happens if you don ' t have any symptoms ?
"
2377,2377,2925,15,"Other drugs may be used to help control the symptoms of viral STIs, but they cannot be cured. Once you have a viral STI, you are usually infected for life. ",you have a viral STI,you are usually infected for life,"what causes you to be infected for life ?
","what happens to you once you have a viral sti ?
"
2378,2378,2926,15,"As a result, people do not know they are infected, so they dont go to the doctor for help. If chlamydia goes untreated, it may cause more serious problems in females. It may cause infections of the uterus, fallopian tubes, or ovaries.",chlamydia goes untreated,it may cause more serious problems in females,"what can cause more serious problems in females ?
","what happens if chlamydia goes untreated ?
"
2379,2379,2927,15,"This is followed a few months later by a rash and flu-like symptoms. If syphilis is not treated, it may damage the heart, brain, and other organs. It can even cause death.",syphilis is not treated,"it may damage the heart, brain, and other organs","what can damage the heart , brain , and other organs ?
","what happens if syphilis is not treated ?
"
2380,2380,2928,15,"It is odorless, but the breakdown of sebum by bacteria can cause odors. If an oil gland becomes plugged and infected, it develops into a pimple. Up to 85% of teenagers get pimples, which usually go away by adulthood.",an oil gland becomes plugged and infected,it develops into a pimple,"what causes a pimple to develop ?
","what happens when an oil gland becomes plugged and infected ?
"
2381,2381,2929,15,"They are called stop codons and do not code for an amino acid. Once tRNA comes to a stop codon, the protein is set free from the ribosome. The following chart (Figure 1.3) is used to determine which amino acids correspond to which codons.",tRNA comes to a stop codon,the protein is set free from the ribosome,"what causes the protein to be set free from the ribosome ?
","what happens when trna comes to a stop codon ?
"
2382,2382,2930,15,"Between the ages of 9 and 13 years, girls need about 26 grams of fiber per day, and boys need about 31 grams of fiber per day. If you eat more than you need for these purposes, the extra protein is used for energy. The image below shows how many grams of protein you need each day (Figure 1.3).",you eat more than you need for these purposes,the extra protein is used for energy,"why is the extra protein used for energy ?
","what happens if you eat more than you need for these purposes ?
"
2383,2383,2931,15,"There is some evidence that myopia is inherited. If one or both of your parents need glasses, there is an increased chance that you will too. Individuals who spend a lot of time reading, working or playing at a computer, or doing other close visual work may also be more likely to develop nearsightedness.",one or both of your parents need glasses,there is an increased chance that you will too,"why is there an increased chance that you will develop nearsightedness ?
","what happens if one or both of your parents need glasses ?
"
2384,2384,2932,15,"Depending on the amount of myopia, you may only need to wear glasses or contact lenses for certain activities, like watching a movie or driving a car. Or, if you are very nearsighted, they may need to be worn all the time. ",you are very nearsighted,they may need to be worn all the time,"why may glasses need to be worn all the time ?
","what happens if you are very nearsighted ?
"
2385,2385,2933,15,"As you read above, an acid produces positive hydrogen ions and a base produces negative hydroxide ions. If an acid and base react together, the hydrogen and hydroxide ions combine to form water. This is represented by the equation:",an acid and base react together,the hydrogen and hydroxide ions combine to form water,"what causes the hydrogen and hydroxide ions to combine to form water ?
","what happens when an acid and base react together ?
"
2386,2386,2934,15,"It is placed on small strips of paper that may be red or blue. If you place a few drops of acid on a strip of blue litmus paper, the paper will turn red. You can see this in Figure 10.6.",you place a few drops of acid on a strip of blue litmus paper,the paper will turn red,"what causes the paper to turn red ?
","what happens if you place a few drops of acid on a strip of blue litmus paper ?
"
2387,2387,2935,15,"A Geiger counter, like the one in Figure 11.4, has a tube that contains atoms of a gas. If radiation enters the tube, it turns gas atoms to ions that carry electric current. The current causes the Geiger counter to click.",radiation enters the tube,it turns gas atoms to ions that carry electric current,"what causes the geiger counter to click ?
","what happens when radiation enters the geiger counter ?
"
2388,2388,2936,15,"He+Energy If you count the number of protons and neutrons on each side of this equation, youll see that the numbers are the same on both sides of the arrow. This means that the equation is balanced.",you count the number of protons and neutrons on each side of this equation,youll see that the numbers are the same on both sides of the arrow,"what causes the numbers to be the same on both sides of the arrow ?
","what happens if you count the number of protons and neutrons on each side of the equation ?
"
2389,2389,2937,15," If a nuclear chain reaction is uncontrolled, it produces a lot of energy all at once. This is what happens in an atomic bomb.",a nuclear chain reaction is uncontrolled,it produces a lot of energy all at once,"what produces a lot of energy all at once in an atomic bomb ?
","what happens if a nuclear chain reaction is uncontrolled ?
"
2390,2390,2938,15,"This is what happens in an atomic bomb. If a nuclear chain reaction is controlled, it produces energy more slowly. This is what occurs in a nuclear power plant.",a nuclear chain reaction is controlled,it produces energy more slowly,"what produces energy more slowly in a nuclear power plant ?
","what happens if a nuclear chain reaction is controlled ?
"
2391,2391,2939,15,"A nuclear chain reaction is similar to a pile of wood burning. If you start one piece of wood burning, enough heat is produced by the burning wood to start the rest of the pile burning without any further help from you. You can see another example of a chain reaction at this URL:",you start one piece of wood burning,enough heat is produced by the burning wood to start the rest of the pile burning without any further help from you,"what causes enough heat to start the rest of the pile burning without any help from you ?
","what happens if you start one piece of wood burning ?
"
2392,2392,2940,15,"They arent moving relative to each other. If they look only at the other children sitting near them, they will not appear to be moving. They may only be able to tell that the bus is moving by looking out the window and seeing you and the trees whizzing by.",they look only at the other children sitting near them,they will not appear to be moving,"why will they not appear to be moving ?
","what happens if they look only at the other children sitting near them ?
"
2393,2393,2941,15,"Direction is just as important as distance in describing motion. For example, if Mia told a friend how to reach the post office from her house, she couldnt just say, ""go 3 kilometers. '' The friend might end up at the park instead of the post office.",Mia told a friend how to reach the post office from her house,"she couldnt just say, ""go 3 kilometers","why couldn ' t mia just say "" go 3 kilometers "" ?
","what would happen if mia told a friend how to reach the post office from her house ?
"
2394,2394,2942,15,"Your instantaneous speed would vary throughout the trip. If the trip took a total of 1.5 hours, your average speed for the trip would be: average speed = 75 mi = 50 mi/h",the trip took a total of 1.5 hours,your average speed for the trip would be: average speed = 75 mi =,"what would cause your average speed for the trip to be ?
","what would happen if the trip took a total of 1 . 5 hours ?
"
2395,2395,2943,15,"In the U.S., this is usually expressed in miles per hour (see Figure 12.6). If your family makes a car trip that covers 120 miles and takes 3 hours, then the cars speed is: speed = 120 mi = 40 mi/h 3h",your family makes a car trip that covers 120 miles and takes 3 hours,then the cars speed is: speed = 120 mi =,"what causes the cars speed to be expressed in miles per hour ?
","what happens if your family makes a car trip that covers 120 miles and takes 3 hours ?
"
2396,2396,2944,15,"URL: In general, if two objects are moving at the same speed and in the same direction, they have the same velocity. If two objects are moving at the same speed but in different directions (like A and B in Figure 12.9), they have different velocities.",two objects are moving at the same speed and in the same direction,they have the same velocity,"why do two objects have the same velocity ?
","what happens if two objects are moving at the same speed and in the same direction ?
"
2397,2397,2947,15," If you know the speed of a moving object, you can also calculate the distance it will travel in a given amount of time. To do so, you would use this version of the general speed formula: distance = speed time",you know the speed of a moving object,you can also calculate the distance it will travel in a given amount of time,"why can you calculate the distance it will travel in a given amount of time ?
","what happens if you know the speed of a moving object ?
"
2398,2398,2948,15,"To do so, you would use this version of the general speed formula: distance = speed time For example, if a car travels at a speed of 60 km/h for 2 hours, then the distance traveled is: distance = 60 km / h",a car travels at a speed of 60 km/h for 2 hours,then the distance traveled is:,"what would happen if a car traveled at a speed of 60 km / h for 2 hours ?
","what happens if a car travels at a speed of 60 km / h for 2 hours ?
"
2399,2399,2951,15,"If the line is horizontal, as it is between B and C, velocity is not changing, so acceleration is zero. If the line slopes downward, like the line between C and D, velocity is decreasing, so acceleration is negative. You can review the concept of acceleration as well as other chapter concepts by watching the musical video at this URL:",the line slopes downward,"like the line between C and D, velocity is decreasing","what causes velocity to decrease ?
","why is acceleration negative if the line slopes downward ?
"
2400,2400,2952,15,"You can see several examples of acceleration in Figure 12.11. If you are accelerating, you may be able to feel the change in velocity. This is true whether you change your speed or your direction.",you are accelerating,you may be able to feel the change in velocity,"why may you be able to feel the change in velocity ?
","what happens if you are accelerating ?
"
2401,2401,2953,15,"In other words, one force is subtracted from the other to calculate the net force. If the opposing forces are equal in strength, the net force is zero. Thats what happens with the book on the table.",the opposing forces are equal in strength,the net force is zero,"what happens when the net force is zero ?
","what happens if the opposing forces are equal in strength ?
"
2402,2402,2955,15,"The bowling ball has greater mass than the basketball. However, if you were to drop both balls at the same time from the same distance above the ground, they would reach the ground together. This is true of all falling objects, unless air resistance affects one object more than another.",you were to drop both balls at the same time from the same distance above the ground,they would reach the ground together,"why does the bowling ball have greater mass than the basketball ?
","what happens if you drop both balls at the same time from the same distance above the ground ?
"
2403,2403,2956,15,"For example, a falling leaf is slowed down by air resistance more than a falling acorn because of the leafs greater surface area. However, if the leaf and acorn were to fall in the absence of air (that is, in a vacuum), they would reach the ground at the same time. ",the leaf and acorn were to fall in the absence of air (that is,"in a vacuum), they would reach the ground at the same time","why would they reach the ground at the same time ?
","what happens if the leaf and acorn are to fall in the absence of air ?
"
2404,2404,2957,15,"Newtons first law of motion states that an objects motion will not change unless an unbalanced force acts on the object. If the object is at rest, it will stay at rest. If the object is in motion, it will stay in motion and its velocity will remain the same.",the object is at rest,it will stay at rest,"when will an object stay at rest ?
","what happens if the object is at rest ?
"
2405,2405,2958,15,"If the object is at rest, it will stay at rest. If the object is in motion, it will stay in motion and its velocity will remain the same. In other words, neither the direction nor the speed of the object will change as long as the net force acting on it is zero.",the object is in motion,it will stay in motion and its velocity will,"when will it stay in motion and its velocity remain the same ?
","what happens if the object is in motion ?
"
2406,2406,2959,15,"When a pool player pushes the pool stick against the white ball, the white ball is set into motion. Once the white ball is rolling, it rolls all the way across the table and stops moving only after it crashes into the cluster of colored balls. Then, the force of the collision starts the colored balls moving.",the white ball is rolling,it rolls all the way across the table and stops moving only after it crashes into the cluster of colored balls,"what happens when a pool player pushes the pool stick against the white ball ?
","what happens when the white ball is rolling ?
"
2407,2407,2960,15,"Inertia is the tendency of an object to resist a change in its motion. If an object is already at rest, inertia will keep it at rest. If the object is already moving, inertia will keep it moving.",an object is already at rest,inertia will keep it at rest,"when will inertia keep it at rest ?
","what happens if an object is already at rest ?
"
2408,2408,2961,15,"If an object is already at rest, inertia will keep it at rest. If the object is already moving, inertia will keep it moving. Think about what happens when you are riding in a car that stops suddenly.",the object is already moving,inertia will keep it moving,"why will inertia keep it moving ?
","what happens if an object is already moving ?
"
2409,2409,2962,15,"This equation can also be written as: F = ma The acceleration due to gravity of an object equals 9.8 m/s2, so if you know the mass of an object, you can calculate its weight as: F = m 9.8 m/s2 As this equation shows, weight is directly related to mass.",you know the mass of an object,you can calculate its weight as: F = m,"why can you calculate the weight of an object ?
","what happens if you know the mass of an object ?
"
2410,2410,2963,15,"For example, assume that a golf ball has a mass of 0.05 kg. If the ball is traveling at a velocity of 50 m/s, its momentum is: Momentum = 0.05 kg",the ball is traveling at a velocity of 50 m/s,its momentum is: Momentum,"what happens to the momentum of a golf ball ?
","what happens if the ball is traveling at a velocity of 50 m / s ?
"
2411,2411,2964,15,"However, a softball moving at a very high velocity say, 100 miles an hour would have greater momentum than a slow-rolling bowling ball. If an object isnt moving at all, it has no momentum. Thats because its velocity is zero, and zero times anything is zero.",an object isnt moving at all,it has no momentum,"why does an object have no momentum ?
","what happens if an object isn ' t moving at all ?
"
2412,2412,2965,15,"This is illustrated in Figure 15.13. If an objects weight is the same as the buoyant force acting on the object, then the object floats. This is the example on the left in Figure 15.13.",an objects weight is the same as the buoyant force acting on the object,then the object floats,"what causes the object to float ?
","what happens if an objects weight is the same as the buoyant force acting on the object ?
"
2413,2413,2966,15,"This is the example on the left in Figure 15.13. If an objects weight is greater than the buoyant force acting on the object, then the object sinks. This is the example on the right in Figure 15.13.",an objects weight is greater than the buoyant force acting on the object,then the object sinks,"what causes the object to sink ?
","what happens if an objects weight is greater than the buoyant force acting on the object ?
"
2414,2414,2968,15,"It can take a long time to do all that work. But if you use an electric leaf blower, like the man in the figure, the job gets done much sooner. Both the leaf blower and the rake do the work of removing leaves from the yard, but the leaf blower has more power.",you use an electric leaf blower,"like the man in the figure, the job gets done much sooner","what causes the job to be done much sooner ?
","what happens when you use an electric leaf blower ?
"
2415,2415,2969,15,"For work to be done, the force must be applied in the same direction that the object moves. If a force is applied in a different direction than the object moves, no work is done. Figure 16.2 illustrates this point.",a force is applied in a different direction than the object moves,no work is done,"what causes no work to be done ?
","what happens if a force is applied in a different direction than the object moves ?
"
2416,2416,2970,15,"So if a machine increases the force applied, it must apply the force over a shorter distance. Similarly, if a machine increases the distance over which the force is applied, it must apply less force. ",a machine increases the distance over which the force is applied,it must apply less force,"what causes a machine to apply less force ?
","what happens if a machine increases the force applied over a shorter distance ?
"
