"The Wharton School of the University of Pennsylvania 's online business journal examines why economists failed to predict a major global financial crisis .","Why does economists fail to predict a major global financial crisis ?","why","AmCauQgTemplate"
"The collector voltage drops because of reduced resistance from collector to emitter .","Why does The collector voltage drop ?","because of reduced resistance from collector to emitter","AmCauQgTemplate"
"Mainstream AC itself has evolved in a similar fashion over the years ; traditional AC artists like Barbra Streisand , the Carpenters , Dionne Warwick , Barry Manilow , John Denver , and Olivia Newton - John found it harder to have major Top 40 hits as the 1980s wore on , and due to the influence of MTV , artists who were staples of the Contemporary Hit Radio format , such as Richard Marx , Michael Jackson , Bonnie Tyler , George Michael , Phil Collins , and Laura Branigan began crossing over to the AC charts with greater frequency .","Why did artists who were staples of the Contemporary Hit Radio format , such as Richard Marx , Michael Jackson , Bonnie Tyler , George Michael , Phil Collins , and Laura Branigan begin crossing over to the AC charts with greater frequency ?","due to the influence of MTV","AmCauQgTemplate"
"Roger Sherman of Connecticut , believed the clause was unnecessary because the original Constitution only gave Congress stated powers , which did not include establishing a national religion .","Why did Roger Sherman of Connecticut believe the clause was unnecessary ?","because the original Constitution only gave Congress stated powers , which did not include establishing a national religion","AmCauQgTemplate"
"Roger Sherman of Connecticut , believed the clause was unnecessary because the original Constitution only gave Congress stated powers , which did not include establishing a national religion .","Why was the clause was unnecessary ?","because the original Constitution only gave Congress stated powers , which did not include establishing a national religion","AmCauQgTemplate"
"On 26 July 1840 Chopin and Sand were present at the dress rehearsal of Berlioz 's Grande symphonie funebre et triomphale , composed to commemorate the tenth anniversary of the July Revolution .","For what purpose did Berlioz 's Grande symphonie funebre et triomphale compose ?","to commemorate the tenth anniversary of the July Revolution","AmPncQgTemplate"
"To help them surmount the most difficult obstacles found within both realms , the Digimon have the ability to evolve ( Digivolve ) In this process , the Digimon change appearance and become much stronger , often changing in personality as well .","For what purpose do the Digimon have the ability to evolve ( Digivolve ) in this process ?","To help them surmount the most difficult obstacles found within both realms","AmPncQgTemplate"
"In 1808 , Napoleon and Czar Alexander met at the Congress of Erfurt to preserve the Russo - French alliance .","For what purpose did Napoleon and Czar Alexander meet at the Congress of Erfurt in 1808 ?","to preserve the Russo - French alliance","AmPncQgTemplate"
"A shortage of officers , following the capture of most of the professional French army at the Siege of Metz and at the Battle of Sedan , led naval officers to be sent from their ships to command hastily assembled reservists of the Garde Mobile .","For what purpose be naval officers sent from their ships ?","to command hastily assembled reservists of the Garde Mobile","AmPncQgTemplate"
"Data on Ethnic Groups are also needed by local governments to run programs and meet legislative requirements ( i.","For what purpose are by local governments needed Data on Ethnic Groups ?","to run programs and meet legislative requirements","AmPncQgTemplate"
"At the west end of the zone inside a grade II listed building is the Pannier Market that was completed in 1959 - pannier meaning "" basket "" from French , so it translates as "" basket market "" .","For what purpose was the Pannier Market completed in 1959 ?","so","AmPncQgTemplate"
"Sometimes , a wrestler may change their legal name in order to obtain ownership of their ring name ( examples include Andrew Martin and Warrior ) .","For what purpose may a wrestler change their legal name sometimes ?","in order to obtain ownership of their ring name","AmPncQgTemplate"
"In history , scholars examine documents and other sources to interpret and analyze past activities ; speculation on the emotional state of the authors of historical documents is one of the tools of interpretation .","For what purpose do scholars examine documents and other sources in history ?","to interpret and analyze past activities","AmPncQgTemplate"
"On the other hand , classical ( analog ) television transmissions are usually horizontally polarized , because in urban areas buildings can reflect the electromagnetic waves and create ghost images due to multipath propagation .","Why did classical ( analog ) television transmissions be horizontally polarized usually ?","because in urban areas buildings can reflect the electromagnetic waves and create ghost images due to multipath propagation","AmCauQgTemplate"
"On the other hand , classical ( analog ) television transmissions are usually horizontally polarized , because in urban areas buildings can reflect the electromagnetic waves and create ghost images due to multipath propagation .","Why are classical ( analog ) television transmissions polarized horizontally usually ?","because in urban areas buildings can reflect the electromagnetic waves and create ghost images due to multipath propagation","AmCauQgTemplate"
"On the other hand , classical ( analog ) television transmissions are usually horizontally polarized , because in urban areas buildings can reflect the electromagnetic waves and create ghost images due to multipath propagation .","Why can the electromagnetic waves reflect buildings in urban areas ?","due to multipath propagation","AmCauQgTemplate"
"On the other hand , classical ( analog ) television transmissions are usually horizontally polarized , because in urban areas buildings can reflect the electromagnetic waves and create ghost images due to multipath propagation .","Why do buildings create ghost images in urban areas ?","due to multipath propagation","AmCauQgTemplate"
"Many of these forced laborers died of exhaustion , illness , or the poor conditions which claimed between 20 % and 25 % of the 127,000 workers .","Why did Many of these forced laborers die ?","of exhaustion , illness , or the poor conditions which claimed between 20 % and 25 % of the 127,000 workers","AmCauQgTemplate"
"In 2003 the paper was accused of racism by the Government over its criticisms of what it perceived as the "" open door "" policy on immigration .","Why was by the Government accused the paper of racism in 2003 ?","over its criticisms of what it perceived as the "" open door "" policy on immigration","AmCauQgTemplate"
"Coated paper has a thin layer of material such as calcium carbonate or china clay applied to one or both sides in order to create a surface more suitable for high - resolution halftone screens .","For what purpose does Coated paper have a thin layer of material such as calcium carbonate or china clay applied to one or both sides ?","in order to create a surface more suitable for high - resolution halftone screens","AmPncQgTemplate"
"The Pindus mountain range strongly affects the climate of the country , as areas to the west of the range are considerably wetter on average ( due to greater exposure to south - westerly systems bringing in moisture ) than the areas lying to the east of the range ( due to a rain shadow effect ) .","Why are areas to the west of the range are considerably wetter on average ?","due to greater exposure to south - westerly systems bringing in moisture )","AmCauQgTemplate"
"Hoover began using wiretapping in the 1920s during Prohibition to arrest bootleggers .","For what purpose did Hoover begin using wiretapping in the 1920s during Prohibition ?","to arrest bootleggers","AmPncQgTemplate"
"Hoover began using wiretapping in the 1920s during Prohibition to arrest bootleggers .","For what purpose did Hoover use wiretapping in the 1920s in the 1920s ?","to arrest bootleggers","AmPncQgTemplate"
"In 1990 religion and politics intersected to impact the outcome of the Eighth District election in South Richmond .","For what purpose did religion and politics intersect in 1990 ?","to impact the outcome of the Eighth District election in South Richmond","AmPncQgTemplate"
"After behaviour has changed radically , small but quick changes of the phenotype follow to make the organism fitter to its changed goals .","For what purpose do small but quick changes of the phenotype follow after behaviour has changed radically ?","to make the organism fitter to its changed goals","AmPncQgTemplate"
"Twice in 2008 , protests took place in Zagreb 's Marshal Tito Square , organized by a group called Circle for the Square ( Krug za Trg ) , with an aim to force the city government to rename it to its previous name , while a counter - protest by Citizens ' Initiative Against Usta?ism ( Gra?anska inicijativa protiv usta?tva ) accused the "" Circle for the Square "" of historical revisionism and neo - fascism .","For what purpose did protests take place in Zagreb 's Marshal Tito Square twice in 2008 twice in 2008 ?","with an aim to force the city government to rename it to its previous name","AmPncQgTemplate"
"The 16th and 17th centuries are regarded as something of a "" dark age "" in Greek history , with the prospect of overthrowing Ottoman rule appearing remote with only the Ionian islands remaining free of Turkish domination .","Why are The 16th and 17th centuries regarded as something of a "" dark age "" in Greek history ?","with the prospect of overthrowing Ottoman rule appearing remote with only the Ionian islands remaining free of Turkish domination","AmCauQgTemplate"
"Since standardisation is a lengthy process , Dutch - speaking Belgium associated itself with the standard language that had already developed in the Netherlands over the centuries .","Why did Dutch - speaking Belgium associate itself with the standard language that had already developed in the Netherlands over the centuries ?","Since standardisation is a lengthy process","AmCauQgTemplate"
"William of Ockham introduced the principle of parsimony : natural philosophers should not postulate unnecessary entities , so that motion is not a distinct thing but is only the moving object and an intermediary "" sensible species "" is not needed to transmit an image of an object to the eye .","For what purpose should natural philosophers not postulate unnecessary entities ?","so that motion is not a distinct thing but is only the moving object and an intermediary "" sensible species "" is not needed to transmit an image of an object to the eye","AmPncQgTemplate"
"William of Ockham introduced the principle of parsimony : natural philosophers should not postulate unnecessary entities , so that motion is not a distinct thing but is only the moving object and an intermediary "" sensible species "" is not needed to transmit an image of an object to the eye .","For what purpose is an intermediary "" sensible species "" not needed ?","to transmit an image of an object to the eye","AmPncQgTemplate"
"Cloud cover can effect the potential of solar panels because clouds block incoming light from the sun and reduce the light available for solar cells .","Why can Cloud cover effect the potential of solar panels ?","because clouds block incoming light from the sun and reduce the light available for solar cells","AmCauQgTemplate"
"Even modern readers of younger age may only experience slight difficulties understanding some words in Pushkin 's texts , since relatively few words used by Pushkin have become archaic or changed meaning .","Why may Even modern readers of younger age experience slight difficulties understanding some words in Pushkin 's texts only ?","since relatively few words used by Pushkin have become archaic or changed meaning","AmCauQgTemplate"
"The numbers of Masurians , Kursenieki and Prussian Lithuanians decreased over time due to the process of Germanization .","Why did The numbers of Masurians , Kursenieki and Prussian Lithuanians decrease over time ?","due to the process of Germanization","AmCauQgTemplate"
"The dissolution of the Soviet Union was formally enacted on December 26 , 1991 , as a result of the declaration no .","Why was The dissolution of the Soviet Union enacted formally on December 26 , 1991 ?","as a result of the declaration no","AmCauQgTemplate"
"Upon the completion of his examinations , Hayek was hired by Ludwig von Mises on the recommendation of Wieser as a specialist for the Austrian government working on the legal and economic details of the Treaty of Saint Germain .","Why was by Ludwig von Mises hired Hayek upon the completion of his examinations ?","on the recommendation of Wieser as a specialist for the Austrian government working on the legal and economic details of the Treaty of Saint Germain","AmCauQgTemplate"
"As part of Imperial Germany , Strasbourg was rebuilt and developed on a grand and representative scale , such as the Neue Stadt , or "" new city "" around the present Place de la Republique .","Why was Strasbourg rebuilt on a grand and representative scale , such as the Neue Stadt , or "" new city "" around the present Place de la Republique ?","As part of Imperial Germany","AmCauQgTemplate"
"Rossabi also discounts the "" divide - and - rule "" theory on the grounds of the Yongle Emperor 's failed attempt to build a strong relationship with the fifth Karmapa — one which he hoped would parallel Kublai Khan 's earlier relationship with the Sakya Phagpa lama .","Why does Rossabi discount the "" divide - and - rule "" theory ?","on the grounds of the Yongle Emperor 's failed attempt to build a strong relationship with the fifth Karmapa — one which he hoped would parallel Kublai Khan 's earlier relationship with the Sakya Phagpa lama","AmCauQgTemplate"
"Turkish leaders for a period advocated the annexation of Cyprus to Turkey as Cyprus was considered an "" extension of Anatolia "" by them ; while since the 19th century , the majority Greek Cypriot population and its Orthodox church had been pursuing union with Greece , which became a Greek national policy in the 1950s .","Why did Turkish leaders advocate the annexation of Cyprus to Turkey while since the 19th century , the majority Greek Cypriot population and its Orthodox church had been pursuing union with Greece , which became a Greek national policy in the 1950s for a period ?","as Cyprus was considered an "" extension of Anatolia "" by them","AmCauQgTemplate"
"In many ancient civilizations , such as those of Egypt and Mesopotamia , architecture and urbanism reflected the constant engagement with the divine and the supernatural , and many ancient cultures resorted to monumentality in architecture to represent symbolically the political power of the ruler , the ruling elite , or the state itself .","For what purpose did many ancient cultures resort to monumentality in architecture ?","to represent symbolically the political power of the ruler , the ruling elite , or the state itself","AmPncQgTemplate"
"Bacteria can also be elongated to form filaments , for example the Actinobacteria .","For what purpose can Bacteria be elongated also ?","to form filaments , for example the Actinobacteria","AmPncQgTemplate"
"An exception to this rule are the CBC North stations in Yellowknife , Whitehorse and Iqaluit , whose call signs begin with "" CF "" due to their historic association with the CBC 's Frontier Coverage Package prior to the advent of microwave and satellite broadcasting .","Why do whose call signs begin with "" CF ?","due to their historic association with the CBC 's Frontier Coverage Package prior to the advent of microwave and satellite broadcasting","AmCauQgTemplate"
"Private flush toilets are too expensive for virtually all residents in townships due to their water consumption and installation cost .","Why are Private flush toilets are too expensive for virtually all residents in townships ?","due to their water consumption and installation cost","AmCauQgTemplate"
"After the creation of the Commonwealth of Australia in 1901 , Norfolk Island was placed under the authority of the new Commonwealth government to be administered as an external territory .","For what purpose was Norfolk Island placed under the authority of the new Commonwealth government after the creation of the Commonwealth of Australia in 1901 ?","to be administered as an external territory","AmPncQgTemplate"
"Some countries were not included for various reasons , primarily the lack of necessary data .","Why were Some countries not included ?","for various reasons , primarily the lack of necessary data","AmCauQgTemplate"
"In May 2005 , Lee made an uncharacteristic appearance at the Los Angeles Public Library at the request of Peck 's widow Veronique , who said of Lee : "" She 's like a national treasure .","Why did Lee make an uncharacteristic appearance at the Los Angeles Public Library in May 2005 ?","at the request of Peck 's widow Veronique , who said of Lee : "" She 's like a national treasure","AmCauQgTemplate"
"History of Hellenism , coined the term Hellenistic to refer to and define the period when Greek culture spread in the non - Greek world after Alexander ’s conquest .","For what purpose did History of Hellenism coin the term Hellenistic ?","to refer to and define the period when Greek culture spread in the non - Greek world after Alexander ’s conquest","AmPncQgTemplate"
"As a result of the amount of time adolescents spend using these devices , their total media exposure is high .","Why is their total media exposure high ?","As a result of the amount of time adolescents spend using these devices","AmCauQgTemplate"
"The emperors undertook tours of the south and commissioned monumental scrolls to depict the grandeur of the occasion .","For what purpose did The emperors commission monumental scrolls ?","to depict the grandeur of the occasion","AmPncQgTemplate"
"A second group of 5,000 , led by Ezra and Nehemiah , returned to Judah in 456 BCE although non - Jews wrote to Cyrus to try to prevent their return .","For what purpose did non - Jews write to Cyrus ?","to try to prevent their return","AmPncQgTemplate"
"Since many of them are known only within small tribes around the country , they may have been lost ( many if not all ) after a few generations .","Why may they have been lost many if not all after a few generations ?","Since many of them are known only within small tribes around the country","AmCauQgTemplate"
"Gender identity forms an important part of identity in psychology , as it dictates to a significant degree how one views oneself both as a person and in relation to other people , ideas and nature .","Why does Gender identity form an important part of identity in psychology ?","as it dictates to a significant degree how one views oneself both as a person and in relation to other people , ideas and nature","AmCauQgTemplate"
"On January 13 , 1991 , Soviet troops , along with the KGB Spetsnaz Alpha Group , stormed the Vilnius TV Tower in Lithuania to suppress the independence movement .","For what purpose did Soviet troops storm the Vilnius TV Tower in Lithuania on January 13 , 1991 ?","to suppress the independence movement","AmPncQgTemplate"
"The demographics of Britain itself was changed after the Second World War owing to immigration to Britain from its former colonies .","Why was The demographics of Britain itself changed after the Second World War ?","owing to immigration to Britain from its former colonies","AmCauQgTemplate"
"Bermuda , at roughly a thousand miles from the Caribbean Sea , has little trade with , and little economically in common with , the region , and joined primarily to strengthen cultural links .","For what purpose does Bermuda join primarily ?","to strengthen cultural links","AmPncQgTemplate"
"Octavian was granted a series of special powers including sole "" imperium "" within the city of Rome , permanent consular powers and credit for every Roman military victory , since all future generals were assumed to be acting under his command .","Why was a series of special powers including sole "" imperium "" within the city of Rome , permanent consular powers and credit for every Roman military victory granted Octavian ?","since all future generals were assumed to be acting under his command","AmCauQgTemplate"
"Because of his ability to motivate nationalistic passions , "" men , women , and children wept and wailed in the streets "" after hearing of his death , according to Nutting .","Why did men , women , and children weep in the streets after hearing of his death ?","Because of his ability to motivate nationalistic passions","AmCauQgTemplate"
"Because of his ability to motivate nationalistic passions , "" men , women , and children wept and wailed in the streets "" after hearing of his death , according to Nutting .","Why did men , women , and children wail according to Nutting in the streets after hearing of his death ?","Because of his ability to motivate nationalistic passions","AmCauQgTemplate"
"The team 's commitment to contend was complete when Green made a midseason deal on June 15 to shore up the starting rotation due to injuries to Rick Reuschel ( 5 - 5 ) and Sanderson .","Why did Green shore the starting rotation ?","due to injuries to Rick Reuschel ( 5 - 5 ) and Sanderson","AmCauQgTemplate"
"The practice spread to include generals , admirals , politicians , doctors and scientists such as Isaac Newton , buried on 4 April 1727 , and Charles Darwin , buried 26 April 1882 .","For what purpose did The practice spread ?","to include generals , admirals , politicians , doctors and scientists such as Isaac Newton , buried on 4 April 1727 , and Charles Darwin , buried 26 April 1882","AmPncQgTemplate"
"The Telegraph also asked its readers to send their views in response to the question "" Is the West demonising China ? "" The BBC reported on a demonstration in Sydney by Chinese Australians "" voicing support for Beijing amid controversy over Tibet "" and protesting against what they saw as Western media bias .","For what purpose did its readers send their views ?","in response to the question "" Is the West demonising China","AmPncQgTemplate"
"Volume license customers and subscribers to MSDN Plus and TechNet Plus were initially unable to obtain the RTM version upon its release ; a spokesperson said the policy was changed to allow Microsoft to work with OEMs "" to ensure a quality experience at general availability .","For what purpose was the policy changed ?","to allow Microsoft to work with OEMs "" to ensure a quality experience at general availability","AmPncQgTemplate"
"Another theory cited to explain New York City 's falling homicide rate is the inverse correlation between the number of murders and the increasingly wetter climate in the city .","For what purpose did Another theory cite ?","to explain New York City 's falling homicide rate","AmPncQgTemplate"
"This division , according to the Municipality of Montevideo , "" aims to advance political and administrative decentralization in the department of Montevideo , with the aim of deepening the democratic participation of citizens in governance .","For what purpose does This division advance political and administrative decentralization in the department of Montevideo ?","with the aim of deepening the democratic participation of citizens in governance","AmPncQgTemplate"
"In the United States Army for instance , air defence is part of the artillery arm , while in the Pakistan Army , it was split off from Artillery to form a separate arm of its own in 1990 .","For what purpose was it split from Artillery in the Pakistan Army ?","to form a separate arm of its own in 1990","AmPncQgTemplate"
"The fifth sultan , Muhammad Quli Qutb Shah , established Hyderabad on the banks of the Musi River in 1591 , to avoid the water shortages experienced at Golkonda .","For what purpose did The fifth sultan , Muhammad Quli Qutb Shah establish Hyderabad on the banks of the Musi River in 1591 ?","to avoid the water shortages experienced at Golkonda","AmPncQgTemplate"
"Richard Hagopian is perhaps the most famous artist of the traditional "" kef "" style and the Vosbikian Band was notable in the 40s and 50s for developing their own style of "" kef music "" heavily influenced by the popular American Big Band Jazz of the time .","Why was the Vosbikian Band was notable in the 40s and 50s ?","for developing their own style of "" kef music "" heavily influenced by the popular American Big Band Jazz of the time","AmCauQgTemplate"
"Not all essential genes are housekeeping genes since some essential genes are developmentally regulated or expressed at certain times during the organism 's life cycle .","Why do Not all essential genes be housekeeping genes ?","since some essential genes are developmentally regulated or expressed at certain times during the organism 's life cycle","AmCauQgTemplate"
"The gods were said to have created human beings from clay for the purpose of serving them .","For what purpose have The gods created human beings from clay ?","for the purpose of serving them","AmPncQgTemplate"
"Diagnostics using DNA - based tools , such as polymerase chain reaction , are increasingly popular due to their specificity and speed , compared to culture - based methods .","Why are Diagnostics using DNA - based tools , such as polymerase chain reaction , are increasingly popular compared to culture - based methods ?","due to their specificity and speed ,","AmCauQgTemplate"
"Because of this , statistically the suicide rate amongst LGBT adolescents is up to four times higher than that of their heterosexual peers due to bullying and rejection from peers or family members .","Why does the suicide rate amongst LGBT adolescents be up to four times higher than that of their heterosexual peers statistically ?","Because of this","AmCauQgTemplate"
"Because of this , statistically the suicide rate amongst LGBT adolescents is up to four times higher than that of their heterosexual peers due to bullying and rejection from peers or family members .","Why does the suicide rate amongst LGBT adolescents be up to four times higher than that of their heterosexual peers statistically ?","Because of this","AmCauQgTemplate"
"On 15 September , on a date known as the Battle of Britain Day , a large - scale raid was launched in daylight , but suffered significant loss for no lasting gain .","Why did a large - scale raid suffer significant loss on 15 September on 15 September ?","for no lasting gain","AmCauQgTemplate"
"Efforts have also been made to raise public awareness of the situation and to encourage domestic water users to take more responsibility for the conservation of this increasingly scarce commodity .","For what purpose have Efforts been made also ?","to raise public awareness of the situation and to encourage domestic water users to take more responsibility for the conservation of this increasingly scarce commodity","AmPncQgTemplate"
"Present - day statutes from across the nation use the same words and phrases , requiring modern executions to take place within a wall or enclosure to exclude public view .","For what purpose do modern executions take place within a wall or enclosure ?","to exclude public view","AmPncQgTemplate"
"Whereas YouTube 's inherent ability to allow presidents to directly connect with average citizens was noted , the YouTube content creators ' new media savvy was perceived necessary to better cope with the website 's distracting content and fickle audience .","For what purpose was the YouTube content creators ' new media savvy perceived necessary whereas YouTube 's inherent ability to allow presidents to directly connect with average citizens was noted ?","to better cope with the website 's distracting content and fickle audience","AmPncQgTemplate"
"In 2013 Enele Sopoaga , the prime minister of Tuvalu , said that relocating Tuvaluans to avoid the impact of sea level rise "" should never be an option because it is self defeating in itself .","For what purpose do Tuvaluans relocate ?","to avoid the impact of sea level rise","AmPncQgTemplate"
"In 2013 Enele Sopoaga , the prime minister of Tuvalu , said that relocating Tuvaluans to avoid the impact of sea level rise "" should never be an option because it is self defeating in itself .","Why be relocating Tuvaluans to avoid the impact of sea level rise never be an option ?","because it is self defeating in itself","AmCauQgTemplate"
"A preliminary conference was held by the Arians at Sirmium , to agree a formula of faith .","For what purpose was by the Arians held A preliminary conference at Sirmium ?","to agree a formula of faith","AmPncQgTemplate"
"Popper died of "" complications of cancer , pneumonia and kidney failure "" in Kenley at the age of 92 on 17 September 1994 .","Why did Popper die in Kenley at the age of 92 at the age of 92 ?","of "" complications of cancer , pneumonia and kidney failure ""","AmCauQgTemplate"
"After one year , the design was released for commercial sale .","For what purpose was the design released after one year ?","for commercial sale","AmPncQgTemplate"
"Daniel Gralath was the first to combine several jars in parallel into a "" battery "" to increase the charge storage capacity .","For what purpose do the first combine several jars into a "" battery "" in parallel ?","to increase the charge storage capacity","AmPncQgTemplate"
"Though most small towns and villages in Alaska lie along the coastline , the cost of importing food to remote villages can be high , because of the terrain and difficult road conditions , which change dramatically , due to varying climate and precipitation changes .","Why be the cost of importing food to remote villages be high though most small towns and villages in Alaska lie along the coastline ?","because of the terrain and difficult road conditions , which change dramatically , due to varying climate and precipitation changes","AmCauQgTemplate"
"Though most small towns and villages in Alaska lie along the coastline , the cost of importing food to remote villages can be high , because of the terrain and difficult road conditions , which change dramatically , due to varying climate and precipitation changes .","Why do the terrain and difficult road conditions change dramatically ?","due to varying climate and precipitation changes","AmCauQgTemplate"
"That week , Adam Lambert was invited back to be a mentor , the first Idol alum to do so .","For what purpose was Adam Lambert invited back that week ?","to be a mentor , the first Idol alum to do so","AmPncQgTemplate"
"The VHF broadcasts would have provided an ideal radio beacon for German bombers homing in on London , and the engineers and technicians of the service would be needed for the war effort , in particular the radar programme .","For what purpose would the engineers and technicians of the service be needed ?","for the war effort , in particular the radar programme","AmPncQgTemplate"
"The Committee stated that the relay was being cancelled to enable the Chinese government to "" focus on the rescue and relief work "" following the Sichuan earthquake .","For what purpose was the relay being cancelled ?","to enable the Chinese government to "" focus on the rescue and relief work "" following the Sichuan earthquake","AmPncQgTemplate"
"Atlas did not achieve any breakout hits and , according to Stan Lee , Atlas survived chiefly because it produced work quickly , cheaply , and at a passable quality .","Why do Atlas survive according to Stan Lee ?","chiefly because it produced work quickly , cheaply , and at a passable quality","AmCauQgTemplate"
"It is argued that the term war is not appropriate in this context ( as in War on Drugs ) , since there is no identifiable enemy , and that it is unlikely international terrorism can be brought to an end by military means .","Why is the term war not is appropriate in this context ( as in War on Drugs ) ?","since there is no identifiable enemy , and that it is unlikely international terrorism can be brought to an end by military means","AmCauQgTemplate"
"According to government figures , the country saves 8 % of its electricity consumption per year because of its solar energy use in heating .","Why does the country save 8 % of its electricity consumption per year according to government figures ?","because of its solar energy use in heating","AmCauQgTemplate"
"To ensure that the police would not interfere in the regular competencies of the courts of law , some police acts require that the police may only interfere in such cases where protection from courts can not be obtained in time , and where , without interference of the police , the realization of the private right would be impeded .","For what purpose do some police acts require that the police may only interfere in such cases where protection from courts can not be obtained in time , and where , without interference of the police , the realization of the private right would be impeded ?","To ensure that the police would not interfere in the regular competencies of the courts of law","AmPncQgTemplate"
"However , in most circumstances it accounts for less than that because of its limited absorption and digestibility .","Why does it account for less than that in most circumstances ?","because of its limited absorption and digestibility","AmCauQgTemplate"
"Until ( at least ) the successful passage of Michigan 's medical marijuana law , the event had arguably strayed from its initial intent , although for years , a number of attendees have received serious legal responses due to marijuana use on University of Michigan property , which does not fall under the City 's progressive and compassionate ticketing program .","Why have a number of attendees received serious legal responses for years ?","due to marijuana use on University of Michigan property , which does not fall under the City 's progressive and compassionate ticketing program","AmCauQgTemplate"
"After Germany led the way with starting DST ( German : Sommerzeit ) during World War I on 30 April 1916 together with its allies to alleviate hardships from wartime coal shortages and air raid blackouts , the political equation changed in other countries ; the United Kingdom used DST first on 21 May 1916 .","For what purpose did Germany lead the way with starting DST ( German : Sommerzeit ) during World War I on 30 April 1916 together with its allies ?","to alleviate hardships from wartime coal shortages and air raid blackouts","AmPncQgTemplate"
"A number of the city 's downtown employers are relatively new , as there has been a marked trend of companies moving from satellite suburbs around Metropolitan Detroit into the downtown core .","Why are A number of the city 's downtown employers are relatively new ?","as there has been a marked trend of companies moving from satellite suburbs around Metropolitan Detroit into the downtown core","AmCauQgTemplate"
"Most MIs occur due to coronary artery disease .","Why do Most MIs occur ?","due to coronary artery disease","AmCauQgTemplate"
"However , Lithuania ’s governing Communist Party was formally independent from Moscow 's control - a first for Soviet Republics and a political earthquake that prompted Gorbachev to arrange a visit to Lithuania the following month in a futile attempt to bring the local party back under control .","For what purpose did Gorbachev arrange a visit to Lithuania the following month ?","in a futile attempt to bring the local party back under control","AmPncQgTemplate"
"Because of his extensive work on ASCII , Bemer has been called "" the father of ASCII .","Why has Bemer been called "" the father of ASCII ?","Because of his extensive work on ASCII","AmCauQgTemplate"
"However , state organs with competing interests and institutions such as the court conference ( tingyi ? ? ) —where ministers were convened to reach majority consensus on an issue — pressured the emperor to accept the advice of his ministers on policy decisions .","For what purpose were ministers convened ?","to reach majority consensus on an issue","AmPncQgTemplate"
"To avoid the implication of the naked "" solvated proton "" in solution , acidic aqueous solutions are sometimes considered to contain a less unlikely fictitious species , termed the "" hydronium ion "" ( H","For what purpose are to contain a less unlikely fictitious species , termed the "" hydronium ion "" considered sometimes ?","To avoid the implication of the naked "" solvated proton "" in solution","AmPncQgTemplate"
"In the 15th and 16th centuries , as the result of pioneering the Age of Discovery , Portugal expanded Western influence and established the first global empire , becoming one of the world 's major economic , political and military powers .","Why did Portugal expand Western influence in the 15th and 16th centuries ?","as the result of pioneering the Age of Discovery","AmCauQgTemplate"
"In the 15th and 16th centuries , as the result of pioneering the Age of Discovery , Portugal expanded Western influence and established the first global empire , becoming one of the world 's major economic , political and military powers .","Why did Portugal establish the first global empire in the 15th and 16th centuries ?","as the result of pioneering the Age of Discovery","AmCauQgTemplate"
"He was mentioned in despatches for his action as a turret officer aboard Collingwood in the Battle of Jutland ( 31 May - 1 June 1916 ) , an indecisive engagement with the German navy that was the largest naval action of the war .","Why was He mentioned in despatches ?","for his action as a turret officer aboard Collingwood in the Battle of Jutland ( 31 May - 1 June 1916 ) , an indecisive engagement with the German navy that was the largest naval action of the war","AmCauQgTemplate"
"This sparking limits the maximum speed of the machine , as too - rapid sparking will overheat , erode , or even melt the commutator .","Why does This sparking limit the maximum speed of the machine ?","as too - rapid sparking will overheat , erode , or even melt the commutator","AmCauQgTemplate"
"It can at times be difficult to separate the two feeding behaviours , for example , where parasitic species prey on a host organism and then lay their eggs on it for their offspring to feed on its decaying corpse .","For what purpose did parasitic species lie their eggs on it the two feeding behaviours then ?","for their offspring to feed on its decaying corpse","AmPncQgTemplate"
"For example , the Cork South Link dual carriageway was built in the early 1980s , to link the Kinsale Road roundabout with the city centre .","For what purpose was the Cork South Link dual carriageway built in the early 1980s ?","to link the Kinsale Road roundabout with the city centre","AmPncQgTemplate"
"Due to its persistent cultural presence and to its novelty within the performing arts , wrestling constitutes a recurring topic in both academia and the media .","Why does wrestling constitute a recurring topic in both academia and the media ?","Due to its persistent cultural presence and to its novelty within the performing arts","AmCauQgTemplate"
"In 1849 the North Carolina Railroad was created by act of the legislature to extend that railroad west to Greensboro , High Point , and Charlotte .","For what purpose was by act of the legislature created the North Carolina Railroad in 1849 ?","to extend that railroad west to Greensboro , High Point , and Charlotte","AmPncQgTemplate"
"Crows are frequently mobbed by smaller songbirds as they prey on eggs and young from these birds ' nests , but these same crows will cooperate with smaller birds to drive away hawks or larger mammalian predators .","For what purpose will these same crows cooperate with smaller birds ?","to drive away hawks or larger mammalian predators","AmPncQgTemplate"
"The CIPA DC-004 standard requires that Japanese manufacturers of digital still cameras use either the REI or SOS techniques , and DC-008 updates the Exif specification to differentiate between these values .","For what purpose does DC-008 update the Exif specification ?","to differentiate between these values","AmPncQgTemplate"
"Athens later allied itself to Ptolemaic Egypt to throw off Macedonian rule , eventually setting up a religious cult for the Ptolemaic kings and naming one of the city phyles in honor of Ptolemy for his aid against Macedon .","For what purpose did Athens ally itself to Ptolemaic Egypt later ?","to throw off Macedonian rule","AmPncQgTemplate"
